model,property,subset,observed,seed
Paper-Artifact-FM-Seed42,QED,top_5,0.8755081851134207,42
Paper-Artifact-FM-Seed42,QED,top_10,0.8544188006812924,42
Paper-Artifact-FM-Seed42,QED,top_20,0.826047644878497,42
Paper-Artifact-FM-Seed42,QED,avg,0.6303688765159537,42
Paper-Artifact-FM-Seed42,SA,top_5,2.7773832622933354,42
Paper-Artifact-FM-Seed42,SA,top_10,3.030581162453984,42
Paper-Artifact-FM-Seed42,SA,top_20,3.350706500072104,42
Paper-Artifact-FM-Seed42,SA,avg,4.564551702695385,42
Paper-Artifact-FM-Seed42,LogP,top_5,100.0,42
Paper-Artifact-FM-Seed42,LogP,top_10,100.0,42
Paper-Artifact-FM-Seed42,LogP,top_20,100.0,42
Paper-Artifact-FM-Seed42,LogP,avg,72.6,42
Paper-Artifact-FM-Seed42,Ro5,top_5,100.0,42
Paper-Artifact-FM-Seed42,Ro5,top_10,100.0,42
Paper-Artifact-FM-Seed42,Ro5,top_20,100.0,42
Paper-Artifact-FM-Seed42,Ro5,avg,100.0,42
Paper-Artifact-FM-Seed123,QED,top_5,0.8747117229165087,123
Paper-Artifact-FM-Seed123,QED,top_10,0.8535247830634982,123
Paper-Artifact-FM-Seed123,QED,top_20,0.8256854728944523,123
Paper-Artifact-FM-Seed123,QED,avg,0.6304531023801833,123
Paper-Artifact-FM-Seed123,SA,top_5,2.754956337354698,123
Paper-Artifact-FM-Seed123,SA,top_10,3.006578555137024,123
Paper-Artifact-FM-Seed123,SA,top_20,3.3240434786974955,123
Paper-Artifact-FM-Seed123,SA,avg,4.5344018533658605,123
Paper-Artifact-FM-Seed123,LogP,top_5,100.0,123
Paper-Artifact-FM-Seed123,LogP,top_10,100.0,123
Paper-Artifact-FM-Seed123,LogP,top_20,100.0,123
Paper-Artifact-FM-Seed123,LogP,avg,73.26,123
Paper-Artifact-FM-Seed123,Ro5,top_5,100.0,123
Paper-Artifact-FM-Seed123,Ro5,top_10,100.0,123
Paper-Artifact-FM-Seed123,Ro5,top_20,100.0,123
Paper-Artifact-FM-Seed123,Ro5,avg,100.0,123
Paper-Artifact-FM-Seed2026,QED,top_5,0.8760341618603092,2026
Paper-Artifact-FM-Seed2026,QED,top_10,0.8547474234193444,2026
Paper-Artifact-FM-Seed2026,QED,top_20,0.8266882978313747,2026
Paper-Artifact-FM-Seed2026,QED,avg,0.6310311086027619,2026
Paper-Artifact-FM-Seed2026,SA,top_5,2.777880374914993,2026
Paper-Artifact-FM-Seed2026,SA,top_10,3.020674427106148,2026
Paper-Artifact-FM-Seed2026,SA,top_20,3.338858447605943,2026
Paper-Artifact-FM-Seed2026,SA,avg,4.546168657163137,2026
Paper-Artifact-FM-Seed2026,LogP,top_5,100.0,2026
Paper-Artifact-FM-Seed2026,LogP,top_10,100.0,2026
Paper-Artifact-FM-Seed2026,LogP,top_20,100.0,2026
Paper-Artifact-FM-Seed2026,LogP,avg,73.81,2026
Paper-Artifact-FM-Seed2026,Ro5,top_5,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,top_10,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,top_20,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,avg,100.0,2026
